ortho	Lexique3__phon	Lexique3__lemme	Lexique3__cgram	Lexique3__freqlemfilms2	Lexique3__freqfilms2	Lexique3__islem	Lexique3__nblettres	Lexique3__puorth	Lexique3__puphon	Lexique3__nbsyll	Lexique3__cgramortho
insulte	5sylt	insulte	NOM	10.49	5.25	1	7	7	5	2	NOM,VER
biberon	bib°R§	biberon	NOM	6.65	5.25	1	7	7	6	3	NOM
ramenée	Ram°ne	ramener	VER	172.7	5.25	0	7	0	4	3	VER
occupés	okype	occuper	VER	375.14	5.24	0	7	0	5	3	VER,ADJ
suffire	syfiR	suffire	VER	232.08	5.24	1	7	6	5	2	VER
niveaux	nivo	niveau	NOM	50.7	5.24	0	7	0	4	2	NOM
metteur	mEt9R	metteur	NOM	5.5	5.24	1	7	5	4	2	NOM
sorties	sORti	sortie	NOM	47.81	5.23	0	7	0	5	2	NOM,VER
maudits	modi	maudit	ADJ	37.18	5.23	0	7	0	4	2	ADJ,NOM
merdeux	mERd2	merdeux	NOM	5.22	5.22	1	7	6	5	2	ADJ,NOM
évanoui	evanwi	évanouir	VER	18.93	5.21	0	7	7	6	3	ADJ,VER
messire	mesiR	messire	NOM	5.69	5.21	1	7	6	5	2	NOM
braquer	bRake	braquer	VER	15.68	5.2	1	7	7	5	2	VER
remplit	R@pli	remplir	VER	61.21	5.2	0	7	0	5	2	VER
western	wEstERn	western	NOM	6.35	5.19	1	7	7	7	2	NOM
déroule	deRul	dérouler	VER	11.37	5.18	0	7	0	0	2	VER
attende	at@d	attendre	VER	1351.46	5.18	0	7	0	0	2	VER
postale	pOstal	postal	ADJ	9.04	5.18	0	7	0	6	2	ADJ
mettais	mEtE	mettre	VER	1004.83	5.16	0	7	0	0	2	VER
résisté	Reziste	résister	VER	38.91	5.16	0	7	0	7	3	VER
choisis	Swazi	choisi	ADJ	9.22	5.16	0	7	0	5	2	ADJ,VER
habillé	abije	habillé	ADJ	10.45	5.14	1	7	7	5	3	VER,ADJ
